trace_id,source_file,engine_id,engine_hash,hash_gate_pass,output_value,output_units,output_correct,output_correct_evidence,reasoning_claim,inference_blind_judge,inference_correct,inference_correct_evidence,physical_evidence_level,physical_evidence_detail,risk_level,decision,notes,benchmark_family,reference_truth,verification_independence,coverage_case
trace_001,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_001.json,physics_magnitude_gold_engines.hadamard_square_returns_zero,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,0.9999999999999996,probability,yes,"P(|0>) after H H |0>: expected 1.0, abs_error=4.441e-16","H^2 = I, so H H |0> = |0>",hold,unknown,,analytic,"H^2 = I, so H H |0> = |0>",low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,quantum_engine_invariant,closed_form_quantum_identity,analytic_no_solver,analytic_success
trace_002,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_002.json,physics_magnitude_gold_engines.bell_entropy_ln2,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,0.6931471805599454,nats,yes,"Bell pair entanglement entropy: expected 0.6931471805599453, abs_error=1.110e-16","Reduced density matrix of Bell pair is I/2, entropy = ln 2",hold,unknown,,analytic,"Reduced density matrix of Bell pair is I/2, entropy = ln 2",low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,quantum_engine_invariant,closed_form_quantum_identity,analytic_no_solver,analytic_success
trace_003,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_003.json,physics_magnitude_gold_engines.product_entropy_zero,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,-0.0,nats,yes,"Product state entanglement entropy: expected 0.0, abs_error=0.000e+00","Product states have rank-1 reduced density matrix, entropy = 0",hold,unknown,,analytic,"Product states have rank-1 reduced density matrix, entropy = 0",low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,quantum_engine_invariant,closed_form_quantum_identity,analytic_no_solver,analytic_success
trace_004,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_004.json,physics_magnitude_gold_engines.ghz_entropy_ln2,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,0.6931471805599454,nats,yes,"GHZ(3) one-qubit bipartition entropy: expected 0.6931471805599453, abs_error=1.110e-16","Single-qubit reduction of GHZ state is I/2, entropy = ln 2",hold,unknown,,analytic,"Single-qubit reduction of GHZ state is I/2, entropy = ln 2",low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,quantum_engine_invariant,closed_form_quantum_identity,analytic_no_solver,analytic_success
trace_005,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_005.json,physics_magnitude_gold_engines.born_rule_plus_state,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,"[0.4999999999999999, 0.4999999999999999]",probability,yes,"Born probabilities for |+> in Z basis: expected [0.5, 0.5], abs_error=1.110e-16",|+> measured in Z basis gives 50/50 probabilities,hold,unknown,,analytic,|+> measured in Z basis gives 50/50 probabilities,low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,quantum_engine_invariant,closed_form_quantum_identity,analytic_no_solver,analytic_success
trace_006,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_006.json,physics_magnitude_gold_engines.heisenberg_dimer_ground_state,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,-0.75,energy,yes,"Spin-1/2 Heisenberg dimer ground-state energy: expected -0.75, abs_error=0.000e+00","For H = J S1.S2, the singlet ground state has E0 = -3J/4",hold,unknown,,analytic,"For H = J S1.S2, the singlet ground state has E0 = -3J/4",low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,Heisenberg,closed_form_singlet_triplet_spectrum,analytic_no_solver,analytic_success
trace_007,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_007.json,physics_magnitude_gold_engines.transverse_field_ising_two_spin_ground_state,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,-1.7204650534085253,energy,yes,"Two-spin transverse-field Ising ground-state energy: expected -1.7204650534085253, abs_error=0.000e+00",N=2 TFIM even block eigenvalues are +/-sqrt(J^2 + 4h^2); ground E0 = -sqrt(J^2 + 4h^2),hold,unknown,,analytic,N=2 TFIM even block eigenvalues are +/-sqrt(J^2 + 4h^2); ground E0 = -sqrt(J^2 + 4h^2),low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,Ising,closed_form_two_spin_TFIM_spectrum,analytic_no_solver,analytic_success
trace_008,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_008.json,physics_magnitude_gold_engines.particle_in_box_energy,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,4.934802200544679,energy,yes,"1D infinite square well energy E_1: expected 4.934802200544679, abs_error=0.000e+00",Infinite square well eigenvalues are E_n = n^2*pi^2*hbar^2/(2mL^2),hold,unknown,,analytic,Infinite square well eigenvalues are E_n = n^2*pi^2*hbar^2/(2mL^2),low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,Schrodinger,closed_form_infinite_square_well,analytic_no_solver,analytic_success
trace_009,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_009.json,physics_magnitude_gold_engines.harmonic_oscillator_energy,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,0.5,energy,yes,"Quantum harmonic oscillator energy E_0: expected 0.5, abs_error=0.000e+00",Harmonic oscillator eigenvalues are E_n = hbar*omega*(n + 1/2),hold,unknown,,analytic,Harmonic oscillator eigenvalues are E_n = hbar*omega*(n + 1/2),low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,Schrodinger,closed_form_harmonic_oscillator,analytic_no_solver,analytic_success
trace_010,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_010.json,physics_magnitude_gold_engines.pauli_z_ground_energy,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,-1.25,energy,yes,"Single-spin Pauli-Z Hamiltonian ground-state energy: expected -1.25, abs_error=0.000e+00","Eigenvalues of -h Z are {-h, +h}; ground energy is -|h|",hold,unknown,,analytic,"Eigenvalues of -h Z are {-h, +h}; ground energy is -|h|",low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,Pauli,closed_form_pauli_z_spectrum,analytic_no_solver,analytic_success
trace_011,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_011.json,physics_magnitude_gold_engines.bell_entropy_cross_sim,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,0.6931471805599454,nats,yes,"Bell pair entanglement entropy cross-sim witness: expected 0.6931471805599453, abs_error=1.110e-16",quantum_engine entropy checked against independent reduced-density eigenvalue calculation,hold,unknown,,cross_sim,quantum_engine entropy checked against independent reduced-density eigenvalue calculation,low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,Entanglement,independent_reduced_density_eigenspectrum,different_algorithm_same_runtime,cross_sim_success
trace_012,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_012.json,physics_magnitude_gold_engines.unverified_variational_energy,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,-1.0801918402698152,energy,unknown,"Toy variational energy without external witness: expected None, abs_error=n/a",No analytic solution or independent witness attached to this trace,no,no,,none,No analytic solution or independent witness attached to this trace,low,reject,Kept as universal coverage trace; not training gold because evidence is none.,UnverifiedToy,none,none,no_evidence_success
trace_013,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_013.json,physics_magnitude_gold_engines.deliberately_failing_engine,,yes,,,no,backend failed before producing a result,"failed trace captured as provenance, not training gold",no,no,no result to infer from,none,RuntimeError: intentional failure for failed-trace coverage,high,reject,Intentional failed trace; validates that the format seals failures honestly.,FailureCoverage,none,none,backend_failed
trace_014,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_014.json,router.memory_guard,,yes,,,no,router rejected execution before materializing dense statevector,dense statevector exceeds memory budget,no,no,rejection trace; no scientific output,none,dense statevector exceeds memory budget,high,reject,Intentional rejected trace; validates that the format seals non-execution honestly.,RouterGuard,memory_budget_guard,none,rejected_by_router
